id;inversor_id;modulo_id;qtd_max
948;92;9;229
949;93;9;256
950;94;9;306
951;95;9;336
952;96;9;382
953;97;9;720
954;98;9;18
955;99;9;21
956;100;9;27
957;101;9;36
958;102;9;40
959;103;9;54
960;104;9;54
961;105;9;67
962;106;9;81
963;107;9;135
964;1;10;8
965;2;10;14
966;3;10;17
967;4;10;22
968;5;10;23
969;6;10;29
970;7;10;10
971;8;10;10
972;9;10;17
973;10;10;20
974;11;10;27
975;12;10;30
976;13;10;34
977;14;10;51
978;15;10;52
979;16;10;52
980;17;10;57
981;18;10;59
982;19;10;69
983;20;10;83
984;21;10;76
985;22;10;104
986;23;10;104
987;24;10;114
988;25;10;121
989;26;10;139
990;27;10;149
991;28;10;152
992;29;10;208
993;30;10;208
994;31;10;226
995;32;10;228
996;33;10;170
997;34;10;347
998;35;10;380
999;36;10;696
1000;37;10;10
1001;38;10;13
1002;39;10;17
1003;40;10;20
1004;41;10;26
1005;42;10;30
1006;43;10;41
1007;44;10;52
1008;45;10;69
1009;46;10;36
1010;47;10;76
1011;48;10;76
1012;49;10;76
1013;50;10;76
1014;51;10;76
1015;52;10;152
1016;53;10;260
1017;54;10;347
1018;55;10;347
1019;56;10;812
1020;57;10;69
1021;58;10;173
1022;59;10;260
1023;60;10;31
1024;61;10;39
1025;62;10;44
1026;63;10;52
1027;64;10;57
1028;65;10;65
1029;66;10;29
1030;67;10;17
1031;68;10;26
1032;69;10;34
1033;70;10;8
1034;71;10;10
1035;72;10;14
1036;73;10;17
1037;74;10;20
1038;75;10;29
1039;76;10;30
1040;77;10;44
1041;78;10;44
1042;79;10;52
1043;80;10;59
1044;81;10;59
1045;82;10;65
1046;83;10;73
1047;84;10;73
1048;85;10;88
1049;86;10;88
1050;87;10;118
1051;88;10;147
1052;89;10;173
1053;90;10;177
1054;91;10;208
1055;92;10;221
1056;93;10;240
1057;94;10;295
1058;95;10;325
1059;96;10;369
1060;97;10;696
1061;98;10;17
1062;99;10;20
1063;100;10;26
1064;101;10;34
1065;102;10;39
1066;103;10;52
1067;104;10;52
1068;105;10;65
1069;106;10;78
1070;107;10;130
1071;1;11;8
1072;2;11;14
1073;3;11;17
1074;4;11;21
1075;5;11;23
1076;6;11;29
1077;7;11;10
1078;8;11;10
1079;9;11;17
1080;10;11;20
1081;11;11;27
1082;12;11;30
1083;13;11;34
1084;14;11;41
1085;15;11;51
1086;16;11;51
1087;17;11;57
1088;18;11;58
1089;19;11;68
1090;20;11;82
1091;21;11;76
1092;22;11;102
1093;23;11;102
1094;24;11;112
1095;25;11;119
1096;26;11;136
1097;27;11;147
1098;28;11;152
1099;29;11;205
1100;30;11;205
1101;31;11;222
1102;32;11;228
1103;33;11;170
1104;34;11;304
1105;35;11;304
1106;36;11;696
1107;37;11;10
1108;38;11;13
1109;39;11;17
1110;40;11;20
1111;41;11;25
1112;42;11;30
1113;43;11;41
1114;44;11;51
1115;45;11;68
1116;46;11;36
1117;47;11;76
1118;48;11;76
1119;49;11;76
1120;50;11;76
1121;51;11;76
1122;52;11;152
1123;53;11;256
1124;54;11;341
1125;55;11;341
1126;56;11;812
1127;57;11;68
1128;58;11;170
1129;59;11;256
1130;60;11;30
1131;61;11;38
1132;62;11;43
1133;63;11;51
1134;64;11;56
1135;65;11;64
1136;66;11;29
1137;67;11;17
1138;68;11;25
1139;69;11;34
1140;70;11;8
1141;71;11;10
1142;72;11;14
1143;73;11;17
1144;74;11;20
1145;75;11;29
1146;76;11;30
1147;77;11;43
1148;78;11;43
1149;79;11;51
1150;80;11;58
1151;81;11;58
1152;82;11;64
1153;83;11;72
1154;84;11;72
1155;85;11;87
1156;86;11;87
1157;87;11;116
1158;88;11;145
1159;89;11;170
1160;90;11;174
1161;91;11;205
1162;92;11;217
1163;93;11;240
1164;94;11;290
1165;95;11;319
1166;96;11;343
1167;97;11;696
1168;98;11;17
1169;99;11;20
1170;100;11;25
1171;101;11;34
1172;102;11;38
1173;103;11;51
1174;104;11;51
1175;105;11;64
1176;106;11;76
1177;107;11;128
1178;1;12;8
1179;2;12;14
1180;3;12;17
1181;4;12;22
1182;5;12;23
1183;6;12;29
1184;7;12;10
1185;8;12;10
1186;9;12;17
1187;10;12;20
1188;11;12;28
1189;12;12;30
1190;13;12;35
1191;14;12;42
1192;15;12;52
1193;16;12;52
1194;17;12;57
1195;18;12;59
1196;19;12;70
1197;20;12;84
1198;21;12;76
1199;22;12;105
1200;23;12;105
1201;24;12;114
1202;25;12;122
1203;26;12;140
1204;27;12;150
1205;28;12;152
1206;29;12;210
1207;30;12;210
1208;31;12;228
1209;32;12;228
1210;33;12;170
1211;34;12;304
1212;35;12;304
1213;36;12;696
1214;37;12;10
1215;38;12;14
1216;39;12;17
1217;40;12;20
1218;41;12;26
1219;42;12;33
1220;43;12;42
1221;44;12;52
1222;45;12;70
1223;46;12;36
1224;47;12;76
1225;48;12;76
1226;49;12;76
1227;50;12;76
1228;51;12;76
1229;52;12;152
1230;53;12;263
1231;54;12;350
1232;55;12;350
1233;56;12;812
1234;57;12;70
1235;58;12;175
1236;59;12;263
1237;60;12;31
1238;61;12;39
1239;62;12;44
1240;63;12;52
1241;64;12;57
1242;65;12;65
1243;66;12;29
1244;67;12;17
1245;68;12;26
1246;69;12;35
1247;70;12;8
1248;71;12;10
1249;72;12;14
1250;73;12;17
1251;74;12;20
1252;75;12;29
1253;76;12;30
1254;77;12;44
1255;78;12;44
1256;79;12;52
1257;80;12;59
1258;81;12;59
1259;82;12;65
1260;83;12;74
1261;84;12;74
1262;85;12;89
1263;86;12;89
1264;87;12;119
1265;88;12;149
1266;89;12;175
1267;90;12;178
1268;91;12;210
1269;92;12;223
1270;93;12;240
1271;94;12;298
1272;95;12;328
1273;96;12;372
1274;97;12;696
1275;98;12;17
1276;99;12;21
1277;100;12;26
1278;101;12;35
1279;102;12;39
1280;103;12;52
1281;104;12;52
1282;105;12;65
1283;106;12;78
1284;107;12;131
1285;1;13;8
1286;2;13;14
1287;3;13;17
1288;4;13;21
1289;5;13;23
1290;6;13;29
1291;7;13;10
1292;8;13;10
1293;9;13;17
1294;10;13;20
1295;11;13;27
1296;12;13;30
1297;13;13;34
1298;14;13;41
1299;15;13;51
1300;16;13;51
1301;17;13;57
1302;18;13;58
1303;19;13;68
1304;20;13;82
1305;21;13;76
1306;22;13;102
1307;23;13;102
1308;24;13;112
1309;25;13;119
1310;26;13;136
1311;27;13;147
1312;28;13;152
1313;29;13;205
1314;30;13;205
1315;31;13;222
1316;32;13;228
1317;33;13;170
1318;34;13;304
1319;35;13;304
1320;36;13;696
1321;37;13;10
1322;38;13;13
1323;39;13;17
1324;40;13;20
1325;41;13;25
1326;42;13;30
1327;43;13;41
1328;44;13;51
1329;45;13;68
1330;46;13;36
1331;47;13;76
1332;48;13;76
1333;49;13;76
1334;50;13;76
1335;51;13;76
1336;52;13;152
1337;53;13;256
1338;54;13;341
1339;55;13;341
1340;56;13;812
1341;57;13;68
1342;58;13;170
1343;59;13;256
1344;60;13;30
1345;61;13;38
1346;62;13;43
1347;63;13;51
1348;64;13;56
1349;65;13;64
1350;66;13;29
1351;67;13;17
1352;68;13;25
1353;69;13;34
1354;70;13;8
1355;71;13;10
1356;72;13;14
1357;73;13;17
1358;74;13;20
1359;75;13;29
1360;76;13;30
1361;77;13;43
1362;78;13;43
1363;79;13;51
1364;80;13;58
1365;81;13;58
1366;82;13;64
1367;83;13;72
1368;84;13;72
1369;85;13;87
1370;86;13;87
1371;87;13;116
1372;88;13;145
1373;89;13;170
1374;90;13;174
1375;91;13;205
1376;92;13;217
1377;93;13;240
1378;94;13;290
1379;95;13;319
1380;96;13;363
1381;97;13;696
1382;98;13;17
1383;99;13;20
1384;100;13;25
1385;101;13;34
1386;102;13;38
1387;103;13;51
1388;104;13;51
1389;105;13;64
1390;106;13;74
1391;107;13;128
1392;1;14;8
1393;2;14;13
1394;3;14;16
1395;4;14;20
1396;5;14;22
1397;6;14;27
1398;7;14;9
1399;8;14;11
1400;9;14;16
1401;10;14;19
1402;11;14;22
1403;12;14;22
1404;13;14;32
1405;14;14;39
1406;15;14;40
1407;16;14;49
1408;17;14;40
1409;18;14;55
1410;19;14;65
1411;20;14;78
1412;21;14;80
1413;22;14;80
1414;23;14;98
1415;24;14;80
1416;25;14;114
1417;26;14;120
1418;27;14;140
1419;28;14;160
1420;29;14;196
1421;30;14;196
1422;31;14;213
1423;32;14;240
1424;33;14;180
1425;34;14;320
1426;35;14;320
1427;36;14;360
